V1	V2	V3	V4	V5	V6	CTX	param	head	ver
0.999534526952176	0.000312886404921852	0.000152586615175579	2.77261500523443e-11	0	0	AA	mPmf	ACGT-N.ctx.param	unitemv1.0.0
3.68828022843349e-38	0.999736325976609	2.01732724887564e-60	0.000263674023391063	0	0	CC	mPmf	ACGT-N.ctx.param	unitemv1.0.0
1.25045994442458e-37	7.03271085106264e-52	1	5.72078625640215e-43	0	0	GG	mPmf	ACGT-N.ctx.param	unitemv1.0.0
2.34463964180455e-05	3.27631398082783e-05	0.000211417188567232	0.999732373275206	0	0	TT	mPmf	ACGT-N.ctx.param	unitemv1.0.0
0.999812477638156	9.03775448080541e-05	9.71448170361884e-05	4.86830324534904e-43	0	0	NA	mPmf	ACGT-N.ctx.param	unitemv1.0.0
6.58462076132639e-05	0.999550385774239	9.26493556594431e-47	0.000383768018147193	0	0	NC	mPmf	ACGT-N.ctx.param	unitemv1.0.0
0.000221126370686052	7.56315270883505e-42	0.999610510073569	0.000168363555744473	0	0	NG	mPmf	ACGT-N.ctx.param	unitemv1.0.0
1.55126181265036e-43	2.66017460649836e-06	0.000353716994026079	0.999643622831367	0	0	NT	mPmf	ACGT-N.ctx.param	unitemv1.0.0
1	0	0	0	0	0	AA	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	1	0	0	0	0	CC	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	0	1	0	0	0	GG	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	0	0	1	0	0	TT	bPmf	ACGT-N.ctx.param	unitemv1.0.0
1	0	0	0	0	0	NA	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	1	0	0	0	0	NC	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	0	1	0	0	0	NG	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	0	0	1	0	0	NT	bPmf	ACGT-N.ctx.param	unitemv1.0.0
0	0.172111133629895	0.26382938398206	0.564059482388045	0	0	AA	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0.340664469091335	0	0.659335530908665	2.00088638711006e-21	0	0	CC	sPmf	ACGT-N.ctx.param	unitemv1.0.0
9.29240715236437e-51	3.24551699746993e-77	0	1	0	0	GG	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0.141235903802323	0.609888250407643	0.248875845790034	0	0	0	TT	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0	2.1699001368425e-09	0.466754387388619	0.533245610441481	0	0	NA	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0.51073043218567	0	0.111713977007138	0.377555590807192	0	0	NC	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0.443062623053773	2.49324006533154e-25	0	0.556937376946227	0	0	NG	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0.616002768789131	0.148654509510346	0.235342721700523	0	0	0	NT	sPmf	ACGT-N.ctx.param	unitemv1.0.0
0.985040177228099	0.00321130155061021	0.000604138661946525	0.0111443825593445	0	0	AA	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.991322287541937	0.00132539786463229	0.000250849733490369	0.00710146485994044	0	0	CC	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.988641966382265	0.00173427371413266	0.000157835628755547	0.00946592427484642	0	0	GG	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.984341388468217	0.00342658264602537	0.000428083599271638	0.0118039452864865	0	0	TT	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.999071341714542	0.000663763136640228	0.000138165473496796	0.000126729675320616	0	0	NA	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.998768059815449	0.000704672010965535	0.000376647235922316	0.000150620937662864	0	0	NC	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.999016680294168	0.000598894382522373	0.000131507644811926	0.000252917678497769	0	0	NG	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
0.998635369888274	0.000809722496585358	0.000282752760086924	0.000272154855054138	0	0	NT	trans	Match.Branch.Stick.Delete.CTX.param	unitemv1.0.0
